dt,node_num,incdec,bid_mw,clear_mw,profit,profit_congestion,node_name,rep_constraint,dfax,constraint_family_num,rep_dart,rep_pastyr_mvalue
2023-03-30,1357.0,Increment,1114.997309768668,683.4,511.81206000000014,4330.10346,NPPD.TECH.1,550852.0,0.02846,1072299.0,RT,-4840.16162109375
2023-04-10,1438.0,Decrement,628.3242247191012,288.0,-507.4043999999999,-3757.16986,CSWS.VOLT.0145,1624.0,-0.1155,902.0,RT,-23094.82421875
2023-04-10,1438.0,Decrement,628.3242247191012,288.0,-507.4043999999999,-3757.16986,CSWS.VOLT.0145,550589.0,-0.0393,1170652.0,RT,-32961.4296875
2023-05-04,221.0,Increment,310.093,185.5,2638.5954300000003,2074.61644,INDN_MWE_SMKY2,425962.0,-0.1433,75.0,RT,-6026.37646484375
2023-05-04,221.0,Increment,310.093,185.5,2638.5954300000003,2074.61644,INDN_MWE_SMKY2,1624.0,-0.1155,902.0,RT,-23300.595703125
2023-05-04,221.0,Increment,310.093,185.5,2638.5954300000003,2074.61644,INDN_MWE_SMKY2,471236.0,-0.0205,937.0,RT,-690438.375
2023-05-04,221.0,Increment,310.093,185.5,2638.5954300000003,2074.61644,INDN_MWE_SMKY2,499618.0,-0.02338,99256.0,RT,-1381.69287109375
2023-05-04,221.0,Increment,310.093,185.5,2638.5954300000003,2074.61644,INDN_MWE_SMKY2,544519.0,-0.042,704807.0,RT,-58424.12109375
2023-05-29,457.0,Increment,233.38,6.0,54.3138,16.70868,NPPD_GGS2,529904.0,-0.0384,1056.0,RT,-21649.591796875
2023-06-13,1369.0,Decrement,111.37,58.1,567.2262900000002,95.31817,NPPD.HYST.HYST,305316.0,0.0344,779.0,RT,-4326.3134765625
2023-06-13,1369.0,Decrement,111.37,58.1,567.2262900000002,95.31817,NPPD.HYST.HYST,529904.0,-0.0585,1056.0,RT,-21649.591796875
2023-06-13,1369.0,Decrement,111.37,58.1,567.2262900000002,95.31817,NPPD.HYST.HYST,9325.0,-0.0129,1090.0,RT,-56461.61328125
2023-06-13,1369.0,Decrement,111.37,58.1,567.2262900000002,95.31817,NPPD.HYST.HYST,311768.0,-0.0313,20061.0,RT,-43862.94921875
2023-06-13,1369.0,Decrement,111.37,58.1,567.2262900000002,95.31817,NPPD.HYST.HYST,544542.0,-0.12021,417632.0,RT,-359.7545166015625
2023-07-10,1255.0,Increment,410.8,146.0,276.0936000000001,579.04364,KMEA_EMP3_JETM8,287024.0,-0.0187,176.0,RT,-91253.6015625
