dt,constraint_family_num,dam,rtm
2025-05-05,1434909,0.0,-508.351
2025-05-05,1671070,-11.1692,0.0
2025-05-05,1671071,-3.9069,0.0
2025-05-05,1693266,-9.0989,0.0
2025-05-06,7,-405.33979999999997,0.0
2025-05-06,146,-1465.5881,0.0
2025-05-06,189,-120.4923,-121.9519
2025-05-06,268,0.0,-734.3106999999999
2025-05-06,350,-188.6184,0.0
2025-05-06,382,-138.1403,-396.8861
2025-05-06,383,-94.4076,-150.8471
2025-05-06,466,-11.3889,-45.011700000000005
2025-05-06,540,-902.0597,0.0
2025-05-06,578,-122.8021,0.0
2025-05-06,588,-25.4363,0.0
2025-05-06,603,-620.1479,-461.8865
2025-05-06,648,-16.932199999999998,0.0
2025-05-06,748,0.0,-307.2191
2025-05-06,881,-34.440599999999996,0.0
2025-05-06,902,-7.728199999999999,-296.47769999999997
2025-05-06,905,-64.8769,0.0
2025-05-06,956,0.0,-3.6995
2025-05-06,974,-0.5972,-0.6634
2025-05-06,1037,-483.6853,-62.56259999999999
2025-05-06,1064,-5.7546,0.0
2025-05-06,14969,-127.39410000000001,0.0
2025-05-06,92444,-19.2113,0.0
2025-05-06,93430,0.0,-2.5981
2025-05-06,274585,-137.6089,0.0
2025-05-06,283171,-352.0648,0.0
2025-05-06,411728,-180.2302,0.0
2025-05-06,515297,0.0,-1011.3701000000001
2025-05-06,701981,-27.765,0.0
2025-05-06,972047,-7.1222,0.0
2025-05-06,1082526,0.0,-645.1181
2025-05-06,1121925,-79.43430000000001,0.0
2025-05-06,1164202,-0.1511,0.0
2025-05-06,1223584,-45.5621,0.0
2025-05-06,1223696,-17.1808,0.0
2025-05-06,1223800,-8.7958,0.0
2025-05-06,1223829,-9.0491,0.0
2025-05-06,1224034,-26.1966,0.0
2025-05-06,1357050,-8.0947,0.0
2025-05-06,1434909,0.0,-62.1667
2025-05-06,1458283,-10.6395,0.0
2025-05-06,1499892,-175.2356,0.0
2025-05-06,1527475,-129.805,0.0
2025-05-06,1532490,-33.0092,0.0
2025-05-06,1671070,-0.8299000000000001,0.0
2025-05-06,1671071,-67.142,0.0
2025-05-07,7,-165.068,0.0
2025-05-07,350,-539.0083,0.0
2025-05-07,414,-32.3887,0.0
2025-05-07,489,-12.4313,0.0
2025-05-07,530,-4.5927,0.0
2025-05-07,588,-117.1343,0.0
2025-05-07,648,-428.62379999999996,-144.6943
2025-05-07,854,-62.051700000000004,0.0
2025-05-07,902,-4.5115,0.0
2025-05-07,919,-483.2823,0.0
2025-05-07,974,-243.9532,-159.4506
2025-05-07,6299,0.0,-0.6898
2025-05-07,92444,-156.0529,0.0
2025-05-07,93430,-16.992,-16.1417
2025-05-07,274585,-274.7744,0.0
2025-05-07,603360,0.0,-33.5958
2025-05-07,606647,-268.5245,0.0
2025-05-07,742826,0.0,-21.3095
2025-05-07,986098,0.0,-359.4412
2025-05-07,1058760,0.0,-417.3214
2025-05-07,1082526,0.0,-9.1061
2025-05-07,1121925,-203.0018,0.0
2025-05-07,1223829,-46.5009,0.0
2025-05-07,1458885,-34.1874,0.0
2025-05-07,1527475,-23.7939,0.0
2025-05-07,1671070,-5.047,0.0
2025-05-07,1671071,-0.8765000000000001,0.0
2025-05-08,31,-830.7312,0.0
2025-05-08,268,0.0,-35.1082
2025-05-08,350,-331.899,0.0
2025-05-08,414,-190.76069999999999,0.0
2025-05-08,588,-37.0977,0.0
2025-05-08,648,-504.4885,-311.8516
2025-05-08,850,0.0,-142.5902
2025-05-08,902,-67.4388,0.0
2025-05-08,919,-30.8316,-611.5301000000001
2025-05-08,974,-378.4471,-359.5542
2025-05-08,1084,-4.3942,0.0
2025-05-08,6299,0.0,-24.7061
2025-05-08,92444,-81.6497,0.0
2025-05-08,515936,0.0,-6.3408
2025-05-08,603360,0.0,-104.663
2025-05-08,626033,-4.3599,0.0
2025-05-08,1223829,-54.0888,0.0
2025-05-08,1223843,-10.6081,0.0
2025-05-08,1223900,-86.36,0.0
2025-05-08,1458885,-19.7142,0.0
2025-05-08,1527475,-107.17269999999999,0.0
2025-05-08,1671070,-3.7497,0.0
2025-05-08,1671071,-1.6586,0.0
2025-05-09,146,-540.0773,0.0
2025-05-09,268,-20.560299999999998,0.0
2025-05-09,350,-4.3171,0.0
2025-05-09,378,-135.8037,0.0
2025-05-09,414,-179.4102,-23.2297
2025-05-09,540,0.0,-310.99260000000004
2025-05-09,588,-40.9334,0.0
2025-05-09,603,-196.44209999999998,0.0
2025-05-09,648,-309.4191,-6284.7715
2025-05-09,902,-62.9354,-1.1916
2025-05-09,951,-15.0348,0.0
2025-05-09,960,-230.7739,0.0
2025-05-09,974,-225.6909,-182.5766
2025-05-09,1087,-3.4172,0.0
2025-05-09,6299,-88.7576,-0.8409
2025-05-09,274585,-64.8977,0.0
2025-05-09,449908,-101.12440000000001,0.0
2025-05-09,498407,-1.2071,0.0
2025-05-09,603360,0.0,-98.6733
2025-05-09,742826,0.0,-168.4787
2025-05-09,1223829,-13.1454,0.0
2025-05-09,1637512,0.0,-43.8885
2025-05-09,1671070,-4.5013000000000005,0.0
2025-05-09,1671071,-0.1906,0.0
2025-05-10,146,-353.5966,-454.6954
2025-05-10,281,-42.0283,0.0
2025-05-10,414,-326.0956,-1007.2875
2025-05-10,431,-1.8022,0.0
2025-05-10,588,-21.9662,0.0
